"Name";"Slug";"KommuneUrl";"Website";"Facebook";"Instagram";"Email";"Phone";"Address"
"Advania Norge Bedriftsidrettslag";"advania-norge-bedriftsidrettslag";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/advania-norge-bedriftsidrettslag/";"http://www.advania.no/";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"47949248";""
"Ak Fryktløs";"ak-fryktlos";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/ak-fryktlos/";"http://www.fryktlos.no";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"928 18 876";""
"Amasone Fotballklubb";"amasone-fotballklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/amasone-fotballklubb/";"http://www.amasone.no";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"92240412";""
"Asker Azad Sports & Culture Club";"asker-azad-sports-culture-club";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-azad-sports-culture-club/";"";"";"";"";"";""
"Asker Basketball Club";"asker-basketball-club";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-basketball-club/";"http://www.askeraliens.com";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"98121044";""
"Asker Biljardklubb";"asker-biljardklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-biljardklubb/";"";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"991 56 670";""
"Askerbøringene IL";"askerboringene-il";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/askerboringene-il/";"http://www.askerboringene.no";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"97502475";""
"Asker Bryteklubb";"asker-bryteklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-bryteklubb/";"";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"";""
"Asker Cykleklubb";"asker-cykleklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-cykleklubb/";"http://asker-ck.no/";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"922 84 984";""
"Asker Fleridrettslag";"asker-fleridrettslag";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-fleridrettslag/";"";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"";""
"Asker Fotball Kvinner VF";"asker-fotball-kvinner-vf";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-fotball-kvinner-vf/";"http://www.askerfk.no";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"92400542";""
"Asker Functional Fitnessklubb";"asker-functional-fitnessklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-functional-fitnessklubb/";"";"https://www.facebook.com/asker.kommune.no";"https://www.instagram.com/askerkommune";"";"";""
