"Name";"Slug";"KommuneUrl";"Website";"Email";"Phone";"Address";"Status"
"Advania Norge Bedriftsidrettslag";"advania-norge-bedriftsidrettslag";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/advania-norge-bedriftsidrettslag/";" /> 
<link href=";"";"47949248";"";"OK"
"Ak Fryktløs";"ak-fryktlos";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/ak-fryktlos/";" /> 
<link href=";"";"928 18 876";"";"OK"
"Amasone Fotballklubb";"amasone-fotballklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/amasone-fotballklubb/";" /> 
<link href=";"";"92240412";"";"OK"
"Asker Azad Sports & Culture Club";"asker-azad-sports-culture-club";"";"";"";"";"";"NOT_FOUND"
"Asker Basketball Club";"asker-basketball-club";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-basketball-club/";" /> 
<link href=";"";"98121044";"";"OK"
"Asker Biljardklubb";"asker-biljardklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-biljardklubb/";" /> 
<link href=";"";"991 56 670";"";"OK"
"Askerbøringene IL";"askerboringene-il";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/askerboringene-il/";" /> 
<link href=";"";"97502475";"";"OK"
"Asker Bryteklubb";"asker-bryteklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-bryteklubb/";" /> 
<link href=";"";"";"";"OK"
"Asker Cykleklubb";"asker-cykleklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-cykleklubb/";" /> 
<link href=";"";"922 84 984";"";"OK"
"Asker Fleridrettslag";"asker-fleridrettslag";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-fleridrettslag/";" /> 
<link href=";"";"";"";"OK"
"Asker Fotball Kvinner VF";"asker-fotball-kvinner-vf";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-fotball-kvinner-vf/";" /> 
<link href=";"";"92400542";"";"OK"
"Asker Functional Fitnessklubb";"asker-functional-fitnessklubb";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-functional-fitnessklubb/";" /> 
<link href=";"";"";"";"OK"
"Asker Helsesportlag";"asker-helsesportlag";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-helsesportlag/";" /> 
<link href=";"";"95138597";"";"OK"
"Asker Jeger Og Fiskeforening";"asker-jeger-og-fiskeforening";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-jeger-og-fiskeforening/";" /> 
<link href=";"";"";"";"OK"
"Asker Kunstløp Klubb Akk";"asker-kunstlop-klubb-akk";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-kunstlop-klubb-akk/";" /> 
<link href=";"";"45002383";"";"OK"
"Asker Miniracing Club";"asker-miniracing-club";"https://www.asker.kommune.no/frivillighet-og-innbyggersamarbeid/lag-og-foreninger/idrett/asker-miniracing-club/";" /> 
<link href=";"";"";"";"OK"
